year,quarter,client_id,region_id,product_id,revenue,cost,profit
2026,Q1,1,1,1,175000.0,113750.0,61250.0
2026,Q1,1,1,2,200000.0,130000.0,70000.0
2026,Q1,1,1,3,225000.0,146250.0,78750.0
2026,Q1,1,2,1,225000.0,146250.0,78750.0
2026,Q1,1,2,2,250000.0,162500.0,87500.0
2026,Q1,1,2,3,275000.0,178750.0,96250.0
2026,Q1,1,3,1,275000.0,178750.0,96250.0
2026,Q1,1,3,2,300000.0,195000.0,105000.0
2026,Q1,1,3,3,325000.0,211250.0,113750.0
2026,Q1,2,1,1,275000.0,178750.0,96250.0
2026,Q1,2,1,2,300000.0,195000.0,105000.0
2026,Q1,2,1,3,325000.0,211250.0,113750.0
2026,Q1,2,2,1,325000.0,211250.0,113750.0
2026,Q1,2,2,2,350000.0,227500.0,122500.0
2026,Q1,2,2,3,375000.0,243750.0,131250.0
2026,Q1,2,3,1,375000.0,243750.0,131250.0
2026,Q1,2,3,2,400000.0,260000.0,140000.0
2026,Q1,2,3,3,425000.0,276250.0,148750.0
2026,Q1,3,1,1,375000.0,243750.0,131250.0
2026,Q1,3,1,2,400000.0,260000.0,140000.0
2026,Q1,3,1,3,425000.0,276250.0,148750.0
2026,Q1,3,2,1,425000.0,276250.0,148750.0
2026,Q1,3,2,2,450000.0,292500.0,157500.0
2026,Q1,3,2,3,475000.0,308750.0,166250.0
2026,Q1,3,3,1,475000.0,308750.0,166250.0
2026,Q1,3,3,2,500000.0,325000.0,175000.0
2026,Q1,3,3,3,525000.0,341250.0,183750.0
2026,Q1,4,1,1,475000.0,308750.0,166250.0
2026,Q1,4,1,2,500000.0,325000.0,175000.0
2026,Q1,4,1,3,525000.0,341250.0,183750.0
2026,Q1,4,2,1,525000.0,341250.0,183750.0
2026,Q1,4,2,2,550000.0,357500.0,192500.0
2026,Q1,4,2,3,575000.0,373750.0,201250.0
2026,Q1,4,3,1,575000.0,373750.0,201250.0
2026,Q1,4,3,2,600000.0,390000.0,210000.0
2026,Q1,4,3,3,625000.0,406250.0,218750.0
2026,Q1,5,1,1,575000.0,373750.0,201250.0
2026,Q1,5,1,2,600000.0,390000.0,210000.0
2026,Q1,5,1,3,625000.0,406250.0,218750.0
2026,Q1,5,2,1,625000.0,406250.0,218750.0
2026,Q1,5,2,2,650000.0,422500.0,227500.0
2026,Q1,5,2,3,675000.0,438750.0,236250.0
2026,Q1,5,3,1,675000.0,438750.0,236250.0
2026,Q1,5,3,2,700000.0,455000.0,245000.0
2026,Q1,5,3,3,725000.0,471250.0,253750.0
2026,Q2,1,1,1,201249.99999999997,130812.49999999999,70437.49999999999
2026,Q2,1,1,2,229999.99999999997,149500.0,80499.99999999997
2026,Q2,1,1,3,258749.99999999997,168187.5,90562.49999999997
2026,Q2,1,2,1,236250.0,153562.5,82687.5
2026,Q2,1,2,2,262500.0,170625.0,91875.0
2026,Q2,1,2,3,288750.0,187687.5,101062.5
2026,Q2,1,3,1,288750.0,187687.5,101062.5
2026,Q2,1,3,2,315000.0,204750.0,110250.0
2026,Q2,1,3,3,341250.0,221812.5,119437.5
2026,Q2,2,1,1,316250.0,205562.5,110687.5
2026,Q2,2,1,2,345000.0,224250.0,120750.0
2026,Q2,2,1,3,373750.0,242937.5,130812.5
2026,Q2,2,2,1,341250.0,221812.5,119437.5
2026,Q2,2,2,2,367500.0,238875.0,128625.0
2026,Q2,2,2,3,393750.0,255937.5,137812.5
2026,Q2,2,3,1,393750.0,255937.5,137812.5
2026,Q2,2,3,2,420000.0,273000.0,147000.0
2026,Q2,2,3,3,446250.0,290062.5,156187.5
2026,Q2,3,1,1,431249.99999999994,280312.5,150937.49999999994
2026,Q2,3,1,2,459999.99999999994,299000.0,160999.99999999994
2026,Q2,3,1,3,488749.99999999994,317687.5,171062.49999999994
2026,Q2,3,2,1,446250.0,290062.5,156187.5
2026,Q2,3,2,2,472500.0,307125.0,165375.0
2026,Q2,3,2,3,498750.0,324187.5,174562.5
2026,Q2,3,3,1,498750.0,324187.5,174562.5
2026,Q2,3,3,2,525000.0,341250.0,183750.0
2026,Q2,3,3,3,551250.0,358312.5,192937.5
2026,Q2,4,1,1,546250.0,355062.5,191187.5
2026,Q2,4,1,2,575000.0,373750.0,201250.0
2026,Q2,4,1,3,603750.0,392437.5,211312.5
2026,Q2,4,2,1,551250.0,358312.5,192937.5
2026,Q2,4,2,2,577500.0,375375.0,202125.0
2026,Q2,4,2,3,603750.0,392437.5,211312.5
2026,Q2,4,3,1,603750.0,392437.5,211312.5
2026,Q2,4,3,2,630000.0,409500.0,220500.0
2026,Q2,4,3,3,656250.0,426562.5,229687.5
2026,Q2,5,1,1,661250.0,429812.5,231437.5
2026,Q2,5,1,2,690000.0,448500.0,241500.0
2026,Q2,5,1,3,718750.0,467187.5,251562.5
2026,Q2,5,2,1,656250.0,426562.5,229687.5
2026,Q2,5,2,2,682500.0,443625.0,238875.0
2026,Q2,5,2,3,708750.0,460687.5,248062.5
2026,Q2,5,3,1,708750.0,460687.5,248062.5
2026,Q2,5,3,2,735000.0,477750.0,257250.0
2026,Q2,5,3,3,761250.0,494812.5,266437.5
